BTCUSDT,ETHUSDT,date
51634.54,1593.28,2021-03-25
51796.54,1597.0,2021-03-25
51749.17,1597.32,2021-03-25
51710.29,1598.48,2021-03-25
51653.76,1597.61,2021-03-25
51713.86,1600.62,2021-03-25
51862.21,1608.51,2021-03-25
51905.49,1607.17,2021-03-25
51805.08,1605.62,2021-03-25
51809.78,1605.93,2021-03-25
51714.05,1606.24,2021-03-25
51526.12,1599.88,2021-03-25
51350.0,1598.42,2021-03-25
51412.1,1600.54,2021-03-25
51211.93,1597.08,2021-03-25
51274.84,1599.86,2021-03-25
51296.96,1600.02,2021-03-25
50965.82,1589.68,2021-03-25
50865.74,1586.0,2021-03-25
50754.75,1583.68,2021-03-25
50731.83,1583.07,2021-03-25
50992.81,1589.04,2021-03-25
51018.09,1590.0,2021-03-25
51479.38,1601.38,2021-03-25
51307.75,1596.57,2021-03-25
51276.99,1595.08,2021-03-25
51337.11,1595.84,2021-03-25
51015.0,1586.5,2021-03-25
50996.15,1594.95,2021-03-25
50876.7,1586.14,2021-03-25
50643.34,1572.6,2021-03-25
51333.32,1592.67,2021-03-25
51515.67,1600.95,2021-03-25
51266.76,1591.03,2021-03-25
50774.42,1576.91,2021-03-25
51188.74,1591.87,2021-03-25
51069.28,1587.4,2021-03-25
51202.77,1590.23,2021-03-25
51172.59,1591.2,2021-03-25
51295.43,1592.89,2021-03-25
51306.95,1592.87,2021-03-25
51482.89,1596.3,2021-03-25
51477.54,1596.53,2021-03-25
51772.15,1602.98,2021-03-25
51591.99,1598.61,2021-03-25
51599.99,1599.22,2021-03-25
51567.72,1599.01,2021-03-25
51509.01,1602.2,2021-03-25
51637.82,1604.21,2021-03-25
51730.13,1604.73,2021-03-25
51598.07,1600.27,2021-03-25
51703.47,1603.44,2021-03-25
51620.6,1603.84,2021-03-25
51610.16,1602.61,2021-03-25
51799.3,1605.18,2021-03-25
51627.12,1601.15,2021-03-25
51751.75,1608.23,2021-03-25
51609.72,1604.0,2021-03-25
51729.14,1606.81,2021-03-25
52020.8,1610.4,2021-03-25
52237.24,1614.78,2021-03-25
52401.67,1616.35,2021-03-25
52273.76,1611.78,2021-03-25
52208.94,1611.75,2021-03-25
52236.72,1612.39,2021-03-25
52174.23,1613.04,2021-03-25
52165.22,1612.01,2021-03-25
52106.29,1612.29,2021-03-25
52091.18,1611.97,2021-03-25
51727.08,1602.82,2021-03-25
51870.32,1608.06,2021-03-25
51958.67,1609.54,2021-03-25
51987.01,1607.35,2021-03-25
52055.57,1605.75,2021-03-25
51980.54,1604.13,2021-03-25
52188.89,1606.7,2021-03-25
52195.19,1605.05,2021-03-25
52253.55,1606.17,2021-03-25
52227.02,1606.35,2021-03-25
52435.19,1610.0,2021-03-25
52555.05,1611.08,2021-03-25
52366.77,1610.62,2021-03-25
52223.04,1607.04,2021-03-25
52286.21,1611.19,2021-03-25
52151.32,1608.71,2021-03-25
52083.67,1607.62,2021-03-25
52158.33,1609.97,2021-03-25
52012.07,1605.71,2021-03-25
51980.75,1603.14,2021-03-25
52207.88,1607.81,2021-03-25
52307.12,1607.3,2021-03-25
52154.97,1603.79,2021-03-25
51980.01,1599.43,2021-03-25
52110.21,1601.45,2021-03-25
52110.01,1602.28,2021-03-25
52300.0,1604.92,2021-03-25
52441.4,1608.0,2021-03-25
52248.26,1605.37,2021-03-25
52374.54,1606.19,2021-03-25
52446.66,1607.91,2021-03-25
52437.1,1609.86,2021-03-25
52472.56,1611.57,2021-03-25
52518.13,1615.69,2021-03-25
52559.91,1612.64,2021-03-25
52565.98,1612.11,2021-03-25
52388.95,1611.04,2021-03-25
52492.16,1605.58,2021-03-25
52342.62,1602.95,2021-03-25
52264.29,1601.51,2021-03-25
52124.33,1596.84,2021-03-25
51731.02,1582.09,2021-03-25
51669.52,1579.4,2021-03-25
51741.6,1583.21,2021-03-25
51860.02,1588.36,2021-03-25
52043.52,1593.39,2021-03-25
51915.29,1590.01,2021-03-25
51704.15,1587.77,2021-03-25
51801.34,1590.56,2021-03-25
51667.33,1587.58,2021-03-25
51730.12,1593.26,2021-03-25
51451.56,1585.5,2021-03-25
51255.41,1582.37,2021-03-25
51370.38,1587.8,2021-03-25
51452.5,1588.27,2021-03-25
51293.78,1585.74,2021-03-25
51906.76,1603.69,2021-03-26
51949.99,1604.0,2021-03-26
51810.78,1604.99,2021-03-26
51847.53,1607.61,2021-03-26
51696.4,1607.44,2021-03-26
51859.95,1611.84,2021-03-26
51875.35,1611.25,2021-03-26
52001.42,1615.5,2021-03-26
51976.25,1617.26,2021-03-26
52173.37,1622.16,2021-03-26
52169.84,1624.4,2021-03-26
52083.14,1620.51,2021-03-26
52018.61,1618.03,2021-03-26
52251.64,1624.44,2021-03-26
52169.88,1622.53,2021-03-26
52237.36,1626.24,2021-03-26
52151.39,1623.07,2021-03-26
52122.84,1620.83,2021-03-26
