BTCUSDT,ETHUSDT
62153.02,4054.03
62262.2,4064.97
62323.32,4075.03
62418.74,4082.86
62447.78,4087.08
62517.39,4094.41
62471.14,4086.5
62637.85,4097.38
62745.62,4097.0
62772.45,4099.04
62647.49,4088.49
62600.82,4082.61
62579.99,4078.22
62343.84,4071.0
62423.21,4079.53
62327.39,4073.8
62198.84,4066.96
62154.49,4066.15
62302.85,4068.9
62275.0,4067.79
62381.8,4075.64
62489.94,4082.75
62494.89,4082.43
62551.74,4087.4
62583.17,4091.03
62526.9,4089.36
62515.59,4092.54
62487.83,4091.38
62518.26,4095.21
62631.54,4101.91
62640.0,4102.96
62689.98,4108.38
62683.41,4109.65
62732.04,4115.74
62732.47,4112.38
62731.07,4113.25
62686.0,4107.5
62652.46,4105.25
62672.72,4107.82
62725.84,4114.95
62772.74,4119.16
62784.99,4118.22
62769.99,4113.63
62799.99,4120.0
62824.15,4121.34
62829.23,4117.99
62752.15,4112.56
62735.69,4111.06
62735.96,4111.06
62705.41,4109.25
62669.83,4107.95
62673.03,4107.85
62627.79,4104.94
62640.71,4107.29
62709.99,4111.83
62719.19,4112.0
62703.01,4110.11
62755.99,4115.21
62762.53,4115.21
62789.22,4116.55
62796.69,4115.77
62750.89,4112.25
62848.37,4123.5
62947.8,4123.3
63013.6,4127.08
63031.35,4130.0
62967.96,4129.91
62931.39,4129.89
62912.95,4129.0
62951.58,4132.29
62980.94,4137.79
62956.49,4135.58
62931.53,4133.11
62957.64,4140.81
62919.33,4138.78
62914.9,4136.01
62938.39,4134.02
62962.12,4138.33
62899.96,4134.27
62872.0,4132.32
62855.86,4132.64
62832.75,4130.08
62859.44,4131.63
62915.02,4135.59
62904.31,4134.38
62894.38,4133.76
62934.18,4136.49
62989.34,4141.05
62952.5,4138.72
62947.53,4138.83
62871.95,4133.88
63006.57,4141.97
62993.59,4139.55
62924.91,4136.6
62998.92,4138.7
63017.93,4139.54
62955.99,4134.36
62976.12,4136.21
62940.01,4133.55
62922.12,4132.82
62869.0,4130.16
62849.99,4126.06
62763.75,4123.0
62775.0,4122.74
62770.54,4122.09
62800.09,4125.24
62818.0,4126.3
62826.01,4127.01
62822.16,4126.92
62751.14,4122.09
62721.59,4116.99
62652.97,4110.17
62658.72,4108.0
62646.27,4109.01
62674.14,4108.41
62596.45,4103.98
62644.86,4103.67
62627.77,4104.0
62588.27,4104.69
62566.89,4103.49
62538.01,4100.45
62608.46,4106.63
62602.18,4105.75
62635.99,4108.07
62636.26,4108.96
62707.87,4111.74
62731.15,4112.64
62759.84,4114.61
62784.06,4115.91
62802.26,4118.62
62798.94,4117.24
62712.98,4112.99
62690.01,4112.13
62764.53,4118.13
62787.29,4120.83
62812.85,4120.58
62744.7,4115.0
62790.66,4119.02
62798.22,4119.73
62822.12,4121.86
62763.92,4118.24
62734.02,4115.69
62711.06,4112.41
62819.37,4121.13
62813.74,4121.16
62859.45,4122.43
62988.22,4127.46
62996.65,4127.96
62989.15,4126.47
62950.46,4125.86
62902.87,4122.61
62876.1,4119.64
62879.68,4118.49
62895.54,4120.56
62906.59,4119.69
62902.44,4120.83
62857.06,4116.1
62986.0,4125.03
62872.68,4116.58
62857.31,4116.31
62850.01,4116.52
62808.39,4113.35
62785.01,4112.36
62811.37,4114.36
62765.35,4111.73
62820.47,4113.66
62839.48,4116.6
62857.51,4118.66
62812.02,4115.48
62819.03,4114.05
62755.64,4111.21
62720.97,4108.57
62700.01,4108.02
62705.0,4108.85
62687.85,4106.0
62676.02,4103.81
62736.55,4108.57
62782.25,4112.97
62814.72,4111.96
62840.0,4111.79
62898.79,4116.75
62983.31,4122.15
62983.31,4123.38
62950.0,4123.83
62978.08,4124.27
63024.53,4124.95
63034.36,4128.64
63011.91,4127.71
63020.0,4128.83
63061.69,4130.62
63082.42,4134.11
63175.0,4137.22
63211.67,4139.01
63204.01,4139.33
63188.7,4137.34
63156.09,4137.3
63144.41,4133.83
63161.1,4134.73
63178.06,4141.37
63222.98,4145.45
63181.79,4140.77
63157.12,4136.59
63117.29,4133.33
63137.35,4133.05
63135.96,4136.7
63124.78,4136.76
63127.34,4139.89
63142.57,4141.87
63102.58,4139.92
63089.53,4140.28
63132.59,4146.43
63133.29,4150.3
63197.06,4154.44
63228.17,4154.46
63212.27,4154.11
63274.44,4154.66
63276.58,4153.01
63268.94,4153.97
63284.43,4153.31
63270.51,4151.51
63259.99,4152.55
63270.73,4151.6
63284.47,4154.28
63296.01,4157.6
63255.76,4157.16
63227.93,4155.76
63223.14,4155.37
63180.15,4152.07
63194.52,4153.14
63204.99,4153.56
63175.01,4151.2
63155.74,4150.01
63151.95,4149.78
63152.93,4147.92
63151.19,4148.77
63145.3,4147.86
63171.83,4150.19
63175.6,4150.69
63151.16,4150.23
63237.9,4155.99
63166.2,4154.7
63255.89,4165.77
63194.03,4158.7
63201.84,4157.61
63184.3,4156.01
63167.99,4150.0
63190.06,4150.08
63189.94,4149.05
63272.73,4153.05
63244.13,4151.01
63230.95,4155.22
63236.72,4156.78
63229.99,4155.41
63174.99,4152.07
63173.56,4155.0
63152.29,4150.33
63146.17,4150.56
63166.78,4150.79
63205.39,4155.88
63112.14,4149.1
63139.1,4151.35
63077.85,4149.01
63037.24,4144.31
63035.84,4144.52
63058.33,4146.53
63040.52,4144.25
63060.08,4147.62
63020.16,4145.29
63043.19,4146.91
63006.32,4145.6
63058.71,4155.0
63038.81,4153.77
63062.98,4155.1
63062.94,4154.95
63062.54,4154.99
63062.27,4156.06
62976.74,4152.32
62917.31,4148.39
62920.78,4148.51
62998.98,4154.9
62980.1,4150.84
62937.47,4148.69
62902.43,4146.07
62869.49,4143.12
62907.0,4143.81
62898.38,4141.75
62926.64,4141.99
62907.01,4140.04
62965.93,4141.99
62949.99,4141.56
62995.85,4145.71
62997.93,4145.82
63005.24,4147.75
62986.8,4145.47
62959.61,4144.15
62970.11,4144.56
62980.01,4146.17
63032.22,4149.56
63045.0,4147.8
63038.0,4149.25
63103.92,4153.22
63135.42,4151.58
63145.41,4150.21
63085.42,4148.28
63027.26,4143.95
63013.06,4142.15
62985.23,4142.22
62955.71,4137.64
62962.5,4138.27
62952.02,4137.2
63003.81,4140.93
62969.68,4137.59
63065.57,4144.25
63063.92,4144.92
63065.39,4143.75
63099.11,4145.39
63127.52,4147.12
63157.3,4149.89
63127.65,4148.56
63060.02,4143.87
62911.07,4132.72
62932.62,4134.57
62929.3,4134.52
62870.0,4130.07
62819.99,4127.15
62808.37,4126.0
62803.82,4125.99
62857.33,4129.99
62885.4,4131.6
62836.86,4125.44
62878.17,4131.68
62852.7,4129.13
62856.12,4128.39
62843.11,4126.15
62868.6,4128.6
62898.38,4132.0
62942.44,4135.2
62938.68,4135.33
62931.9,4135.03
62934.97,4135.03
62939.79,4136.12
62955.8,4136.13
62985.87,4137.87
62934.96,4133.55
62905.0,4132.36
62895.21,4131.16
62839.04,4127.45
62818.01,4124.88
62813.06,4124.43
62799.97,4121.69
62853.94,4125.72
62861.48,4125.8
62864.19,4126.44
62868.69,4127.0
62896.28,4128.89
62960.49,4131.77
62973.94,4133.0
63047.25,4135.87
63011.02,4133.84
63013.04,4132.1
63026.13,4131.48
62956.59,4126.52
62963.15,4129.25
63020.93,4132.61
63129.78,4142.51
63113.0,4142.58
63175.71,4146.88
63175.7,4148.49
63192.89,4151.2
63127.37,4146.1
63090.16,4145.18
63070.61,4143.99
63088.4,4147.07
63014.95,4142.73
62940.64,4138.12
62903.29,4133.76
62896.61,4132.23
62834.17,4129.99
62860.97,4130.23
62834.04,4130.71
62796.88,4127.24
62789.99,4126.79
62804.11,4124.86
62847.93,4128.08
62842.79,4126.47
62781.0,4121.25
62779.99,4120.37
62750.87,4116.07
62683.86,4111.48
62701.34,4113.67
62746.8,4116.47
62757.61,4118.63
62792.63,4121.92
62813.06,4124.0
62814.06,4123.68
62674.22,4116.44
62588.99,4111.68
62558.04,4112.39
62513.97,4107.66
62567.99,4110.85
62590.68,4112.52
62546.94,4109.63
62586.24,4110.23
62620.7,4114.07
62565.63,4111.35
62677.6,4117.02
62676.03,4117.1
