BTCUSDT,ETHUSDT
34245.27,2184.92
34203.02,2182.99
34262.24,2187.71
34276.58,2185.6
34220.0,2181.1
34241.5,2181.93
34223.33,2179.81
34235.84,2180.3
34312.17,2184.62
34334.66,2187.42
34317.01,2186.03
34367.08,2188.84
34380.62,2189.1
34361.31,2187.28
34387.23,2189.89
34381.62,2188.05
34382.96,2188.82
34402.95,2190.39
34400.0,2189.31
34396.31,2190.09
34420.0,2191.55
34408.22,2190.62
34431.56,2193.55
34432.18,2192.95
34382.07,2190.89
34375.68,2192.29
34254.96,2183.27
34219.8,2181.22
34131.1,2176.04
34199.98,2179.43
34209.42,2180.1
34118.06,2172.04
34109.77,2171.9
34117.45,2171.93
34146.2,2173.12
34162.11,2175.43
34161.05,2174.78
34138.22,2174.14
34142.51,2175.0
34113.63,2171.02
34096.99,2167.39
34109.38,2169.0
34073.6,2163.61
34049.58,2159.33
34018.18,2155.8
33940.76,2147.42
33947.17,2148.48
33930.62,2145.23
33932.53,2144.36
33937.39,2145.61
33951.92,2147.78
33984.74,2151.92
33956.99,2149.86
33991.73,2151.25
33991.74,2150.74
33999.0,2149.85
34010.0,2150.19
33993.27,2149.0
34011.65,2150.99
34014.08,2152.43
33938.98,2146.02
33960.27,2146.43
33993.41,2149.79
33947.3,2145.83
33968.08,2148.0
33991.59,2150.57
34001.87,2152.96
34055.01,2156.62
34119.15,2160.84
34101.28,2159.19
34073.01,2156.75
34088.55,2157.08
34090.51,2157.66
34093.31,2157.98
34113.3,2159.99
34029.32,2150.61
34056.64,2155.65
34038.81,2153.6
34036.97,2151.99
34050.0,2152.95
34036.69,2152.4
33992.6,2148.32
34001.64,2149.49
33964.23,2146.75
33999.25,2150.18
33995.32,2148.86
33970.14,2146.92
33969.9,2147.85
33981.53,2149.13
33987.52,2148.3
33950.0,2145.0
33963.99,2146.78
34001.75,2149.55
33995.34,2148.35
34042.65,2153.73
34022.25,2151.8
34031.65,2153.01
34029.1,2151.88
34016.73,2150.74
34003.18,2150.01
33995.43,2149.69
33985.07,2147.76
33971.11,2146.75
33988.78,2148.37
34031.05,2151.32
33991.78,2146.9
33968.72,2146.05
33969.75,2145.35
33958.61,2143.91
33983.72,2145.99
34005.01,2149.46
33950.02,2144.45
33942.65,2143.9
33938.21,2143.91
33914.23,2140.44
33894.65,2142.43
33893.95,2141.05
33887.21,2140.29
33928.57,2142.5
33924.85,2141.84
33930.17,2142.28
33959.04,2144.48
33959.99,2146.44
33962.39,2145.14
33928.7,2140.8
33955.43,2144.63
33971.56,2145.52
33982.27,2146.89
33980.9,2146.11
33983.55,2146.98
33999.0,2148.49
33991.08,2146.81
33952.33,2142.69
33986.35,2146.03
33999.0,2146.82
34040.0,2150.78
34049.99,2153.08
34050.01,2152.96
34083.55,2155.55
34066.78,2153.91
34116.58,2156.31
34099.47,2156.3
34095.9,2154.84
34097.22,2154.62
34094.18,2155.0
34068.18,2152.41
34058.76,2150.76
34085.97,2152.05
34107.58,2152.36
34104.01,2151.97
34157.64,2155.26
34137.8,2154.71
34142.86,2154.5
34114.05,2154.35
34121.91,2154.54
34081.36,2152.17
34068.81,2151.29
34071.94,2152.55
34067.61,2151.95
34055.6,2152.14
34077.7,2153.65
34098.49,2155.03
34079.84,2153.03
34087.0,2152.72
34091.39,2153.89
34072.41,2152.8
34128.56,2156.66
34135.9,2156.14
34146.95,2157.4
34136.02,2156.5
34136.82,2157.71
34144.64,2158.25
34177.91,2161.0
34162.97,2161.0
34158.84,2161.2
34165.71,2163.16
34170.94,2164.16
34181.62,2165.63
34194.98,2164.42
34177.85,2163.05
34191.25,2165.77
34190.04,2166.84
34211.0,2167.51
34262.63,2170.29
34247.31,2169.64
34266.41,2170.89
34241.87,2169.19
34235.52,2168.97
34230.82,2168.49
34235.0,2168.78
34272.61,2169.1
34275.12,2169.05
34291.07,2169.09
34298.96,2170.21
34292.37,2170.58
34296.68,2169.25
34248.81,2167.57
34233.86,2165.21
34231.64,2164.75
34238.39,2164.89
34222.49,2162.01
34249.99,2163.86
34279.97,2166.42
34252.53,2165.0
34259.62,2165.83
34260.21,2165.49
34266.58,2164.89
34273.47,2165.49
34299.99,2169.72
34310.57,2170.81
34279.51,2169.06
34269.62,2168.69
34244.71,2166.18
34252.51,2167.47
34233.59,2165.77
34236.19,2166.21
34212.39,2163.93
34209.37,2164.68
34218.63,2165.42
34241.21,2167.32
34250.19,2167.71
34249.99,2166.95
34254.78,2167.5
34227.64,2164.51
34208.67,2163.77
34207.03,2162.71
34185.02,2160.54
34189.51,2161.53
34198.37,2161.8
34222.62,2163.01
34210.34,2162.29
34220.97,2163.54
34204.19,2162.17
34211.5,2162.21
34201.89,2160.87
34186.35,2157.84
34158.75,2154.49
34164.12,2154.95
34152.01,2152.72
34160.85,2151.96
34200.0,2156.34
34173.35,2152.78
34197.32,2155.06
34185.66,2153.45
34200.0,2154.16
34200.04,2155.37
34177.42,2152.8
34196.14,2155.56
34233.34,2158.39
34251.93,2158.23
34250.37,2156.45
34229.99,2155.41
34235.48,2155.6
34181.87,2151.63
34179.99,2150.52
34099.78,2146.92
34085.52,2147.81
34084.82,2148.31
34128.0,2150.11
34139.73,2149.99
34140.36,2151.34
34168.91,2154.11
34277.74,2158.76
34268.45,2157.07
34310.0,2158.34
34329.99,2159.0
34325.92,2158.41
34297.11,2157.57
34279.61,2155.58
34265.16,2154.58
34261.35,2155.68
34300.34,2158.73
34325.87,2160.71
34350.0,2165.54
34377.76,2168.9
34391.85,2168.44
34394.99,2169.97
34363.28,2167.13
34384.99,2168.43
34380.84,2168.97
34421.24,2171.68
34429.17,2170.63
34467.39,2172.69
34438.38,2170.55
34420.56,2169.01
34390.52,2166.74
34384.19,2166.48
34393.6,2166.08
34388.49,2166.17
34390.53,2166.97
34413.76,2167.96
34409.08,2167.45
34388.21,2167.73
34390.01,2167.9
34382.81,2165.89
34367.58,2165.78
34357.6,2166.22
34350.01,2163.98
34355.44,2164.77
34365.99,2164.89
34374.84,2165.61
34386.21,2166.46
34407.6,2168.02
34417.19,2170.01
34420.11,2169.19
34428.11,2171.01
34459.19,2171.72
34424.72,2168.93
34415.45,2168.09
34378.7,2165.27
34395.55,2166.39
34439.99,2168.62
34429.21,2167.0
34451.99,2168.99
34407.22,2166.79
34400.03,2166.5
34417.56,2168.33
34432.08,2169.68
34429.07,2169.08
34428.12,2167.86
34417.65,2167.54
34430.06,2169.0
34458.23,2170.94
34500.01,2171.87
34304.22,2160.37
34283.16,2156.13
34297.65,2155.41
34325.39,2157.78
34284.68,2156.24
34321.16,2157.65
34277.43,2156.35
34300.46,2157.6
34286.86,2157.98
34286.17,2158.67
34314.64,2161.0
34293.71,2159.08
34301.25,2161.03
34303.44,2160.33
34313.24,2162.14
34332.36,2163.72
34322.57,2162.1
34353.8,2163.53
34356.0,2163.37
34337.94,2163.05
34334.98,2161.5
34322.45,2159.14
34289.46,2155.57
34295.17,2155.88
34293.23,2154.89
34320.0,2157.55
34308.99,2157.24
34299.58,2155.51
34308.96,2156.25
34329.19,2157.57
34339.98,2158.0
34328.5,2157.79
34314.68,2156.04
34313.01,2156.26
34330.2,2157.15
34322.31,2156.36
34288.59,2153.52
34317.17,2157.04
34309.58,2155.62
34313.25,2155.58
34372.54,2159.76
34368.56,2159.49
34383.04,2159.51
34370.0,2158.96
34372.4,2158.28
34374.99,2158.68
34370.8,2158.56
34378.09,2159.05
34381.89,2159.81
34422.94,2163.0
34426.23,2162.63
34437.38,2164.14
34445.95,2165.41
34475.92,2167.85
34475.74,2167.93
34466.27,2166.91
34479.99,2168.8
34455.0,2167.09
34455.01,2166.5
34394.93,2165.0
34388.91,2163.13
34414.65,2165.82
34422.09,2165.19
34420.0,2165.0
34410.0,2164.52
34405.62,2164.6
34425.0,2166.29
34438.76,2167.94
34422.03,2166.42
34419.1,2164.82
34408.42,2164.83
34392.07,2163.3
34402.35,2164.95
34410.37,2165.08
34405.92,2164.54
34436.18,2167.03
34422.56,2164.99
34431.09,2165.36
34416.33,2163.89
34450.13,2168.29
34458.46,2169.07
34450.1,2167.65
34456.28,2166.64
34454.99,2166.31
34445.74,2165.85
34430.62,2165.0
34412.78,2163.74
34420.01,2164.24
34433.4,2166.52
34416.71,2164.39
34420.38,2164.47
34457.07,2167.01
34441.37,2164.97
34452.98,2166.15
34479.27,2167.48
34472.15,2166.8
34457.31,2167.55
34481.97,2168.48
34498.36,2168.05
34503.01,2168.5
34521.71,2170.32
34534.81,2170.61
34540.7,2171.01
34529.72,2169.53
34528.82,2168.47
34536.84,2169.14
34541.84,2168.88
34549.21,2169.64
34556.81,2170.54
34564.69,2170.85
34600.48,2178.75
34540.62,2173.61
34593.69,2177.11
34603.98,2175.99
34666.89,2178.67
34681.07,2178.34
34682.66,2176.28
34709.92,2179.13
34724.63,2179.91
34696.45,2179.46
34702.64,2180.46
34729.63,2181.0
34718.73,2182.51
34710.19,2182.66
34677.79,2181.27
34661.21,2178.21
34708.93,2181.17
34757.52,2183.73
34732.11,2182.29
34747.06,2184.02
34740.84,2183.64
34761.56,2184.94
34734.51,2182.99
34738.0,2183.18
34710.01,2180.9
34728.78,2183.13
34724.16,2181.53
34720.01,2182.22
34750.01,2182.59
34770.06,2182.32
34756.3,2181.01
34780.0,2182.06
34731.74,2179.39
34745.2,2179.7
34765.83,2180.77
34777.38,2181.58
34759.61,2180.46
34764.26,2180.88
34761.2,2180.73
34740.01,2179.02
34725.0,2178.36
34715.03,2176.12
34689.27,2175.21
34718.33,2176.75
34707.3,2175.01
34695.51,2175.3
34696.39,2173.45
34721.08,2175.25
34716.96,2175.93
34720.01,2176.3
34730.07,2176.99
34730.0,2176.51
34759.38,2178.31
34760.92,2179.06
34730.25,2175.87
34746.15,2177.4
34764.0,2179.3
34744.08,2177.61
34748.32,2177.95
34739.98,2177.96
34760.45,2179.97
34781.69,2180.5
34770.01,2180.36
34755.49,2179.83
34720.01,2177.44
34676.72,2176.1
34644.31,2174.24
34671.93,2174.72
34693.78,2176.14
34686.13,2175.0
34717.37,2176.77
34720.01,2177.04
34737.79,2177.82
34702.13,2175.02
34702.14,2174.21
34711.28,2175.4
34698.07,2174.02
34650.0,2170.0
34632.65,2168.0
34638.81,2168.76
34653.24,2170.56
34665.4,2170.42
34621.33,2168.12
34618.11,2168.6
34619.88,2168.35
34613.89,2168.22
34622.0,2169.49
34621.78,2169.12
34617.92,2169.56
34587.09,2167.31
34599.99,2168.52
34572.07,2166.42
34549.51,2164.32
34528.42,2164.24
34464.57,2162.75
34511.85,2165.48
34507.26,2163.14
34534.53,2166.18
34544.27,2167.01
34532.95,2165.79
34560.33,2167.78
34561.07,2167.29
34560.01,2166.72
34586.28,2168.24
34563.59,2166.53
34570.89,2168.11
34607.38,2169.36
34599.89,2167.69
34588.36,2165.18
34601.3,2167.1
34611.99,2169.02
34626.85,2169.6
34612.32,2168.8
34584.43,2167.0
34562.96,2166.08
34545.45,2165.01
