BTCUSDT,ETHUSDT
47091.29,3706.33
47190.0,3715.76
47247.41,3726.09
47192.24,3719.59
47222.25,3719.62
47210.43,3719.01
47175.52,3714.23
47182.2,3714.84
47316.94,3727.51
47338.5,3729.91
47360.78,3732.18
47300.0,3726.94
47304.11,3728.3
47335.16,3730.29
47296.76,3725.7
47309.61,3727.08
47317.48,3730.76
47272.37,3727.26
47267.46,3725.73
47287.08,3725.2
47228.03,3721.34
47187.78,3717.79
47142.9,3715.45
47162.32,3717.0
47098.22,3712.74
47076.04,3710.79
47065.01,3711.11
47059.95,3709.56
47001.0,3707.6
47036.79,3710.44
47032.59,3709.86
47044.75,3709.73
47061.31,3711.75
47039.61,3709.19
46933.33,3702.84
46928.87,3703.11
46961.81,3702.68
46988.59,3703.28
46911.81,3699.76
46872.14,3694.53
46947.61,3699.79
46930.95,3699.93
46909.39,3698.62
46903.73,3696.42
46926.15,3695.51
46942.15,3691.91
46966.03,3694.67
46971.99,3694.65
47007.78,3698.05
47044.02,3701.62
47066.47,3701.88
47101.76,3702.52
47092.89,3701.05
47158.59,3707.0
47174.57,3708.58
47144.61,3705.03
47165.72,3707.51
47139.49,3705.38
47094.79,3701.39
47073.98,3700.6
47129.09,3705.26
47027.45,3697.62
47049.58,3701.11
47078.13,3703.23
47051.67,3699.36
47060.5,3701.7
47006.57,3697.42
46935.95,3692.97
46916.69,3689.31
46900.01,3688.18
46871.31,3687.49
46878.66,3688.51
46933.38,3691.8
46918.31,3691.89
46951.26,3695.98
46963.95,3697.3
46983.22,3697.38
47021.7,3698.33
47050.74,3700.87
47084.09,3704.37
47089.98,3706.79
47125.06,3711.44
47186.62,3719.72
47194.72,3717.72
47260.81,3724.65
47226.48,3724.94
47244.57,3724.94
47253.08,3725.96
47184.06,3720.73
47177.93,3720.77
47187.26,3720.59
47225.47,3724.28
47292.69,3735.27
47277.75,3732.65
47225.11,3727.99
47200.71,3728.3
47199.35,3728.3
47199.59,3729.61
47219.99,3732.23
47213.62,3731.56
47182.3,3730.3
47155.0,3728.71
47164.48,3728.73
47144.74,3726.17
47161.62,3728.41
47098.01,3722.9
47057.17,3721.24
47075.05,3722.07
47073.99,3721.99
47016.41,3716.35
47033.99,3717.11
47124.96,3724.42
47164.27,3730.29
47176.19,3730.66
47180.0,3730.03
47186.62,3730.57
47162.82,3729.51
47140.38,3727.66
47150.0,3728.83
47121.94,3726.29
47043.07,3719.68
47046.48,3718.86
47086.88,3721.22
46998.3,3713.61
47006.94,3714.73
46981.12,3713.67
46986.63,3714.9
47001.22,3715.01
47031.17,3718.65
47039.49,3720.33
47000.0,3716.62
46999.99,3716.59
47004.32,3716.53
46995.07,3716.21
46990.19,3716.02
46965.26,3715.01
46992.63,3716.24
47039.98,3720.46
46982.89,3717.19
47001.0,3718.33
46961.0,3714.75
46926.8,3711.74
46930.12,3710.89
46926.71,3709.31
46958.83,3711.1
46905.82,3709.62
46890.61,3708.01
46936.8,3710.45
46933.3,3711.03
46889.95,3709.92
46836.82,3706.03
46884.42,3710.34
46848.01,3707.07
46845.01,3707.29
46855.83,3707.57
46936.46,3713.98
46954.16,3716.04
46953.19,3716.43
46905.66,3712.47
46910.59,3713.18
46925.0,3714.09
46913.32,3713.17
46941.88,3715.46
46876.3,3709.61
46886.6,3710.5
46900.68,3711.29
46890.0,3710.24
