BTCUSDT,ETHUSDT
47735.36,3317.42
47726.42,3315.5
47742.49,3315.28
47725.13,3314.94
47708.89,3316.7
47693.17,3317.72
47675.59,3313.97
47704.99,3316.63
47742.82,3318.95
47719.33,3317.5
47736.92,3318.27
47696.8,3315.26
47684.72,3312.03
47655.54,3308.92
47715.06,3311.71
47677.03,3306.53
47672.92,3306.94
47631.76,3304.48
47643.69,3304.57
47646.7,3306.91
47638.62,3305.0
47673.16,3307.25
47668.19,3305.18
47689.75,3305.01
47671.52,3305.68
47718.54,3308.07
47731.09,3313.05
47742.28,3314.29
47743.51,3314.23
47762.89,3316.02
47719.72,3312.6
47725.01,3312.68
47725.05,3314.43
47720.52,3314.91
47717.93,3314.55
47660.67,3308.01
47619.99,3303.54
47636.09,3303.82
47607.37,3298.86
47615.56,3296.27
47642.01,3298.88
47580.0,3292.43
47579.25,3290.01
47605.22,3292.84
47603.82,3292.92
47530.66,3286.79
47554.3,3287.58
47586.07,3291.59
47602.09,3294.75
47619.42,3295.65
47641.9,3297.98
47646.08,3301.45
47635.75,3303.03
47625.64,3302.42
47655.14,3304.93
47660.93,3308.44
47680.0,3310.8
47661.12,3307.04
47665.8,3308.28
47631.85,3304.37
47669.33,3305.05
47694.18,3308.79
47716.49,3309.63
47706.08,3310.57
47692.57,3309.0
47680.81,3307.78
47681.98,3308.46
47680.97,3309.25
47683.45,3310.95
47737.89,3313.93
47728.78,3316.02
47724.98,3315.98
47687.48,3314.09
47693.07,3315.49
47694.84,3316.01
47706.57,3316.36
47723.52,3320.33
47736.77,3323.25
47701.69,3317.97
47696.2,3318.37
47683.17,3316.72
47686.68,3317.15
47674.82,3315.54
47658.45,3312.95
47671.0,3314.66
47675.0,3316.51
47652.72,3313.7
47663.84,3314.19
47653.72,3314.7
47646.01,3312.18
47619.99,3309.66
47624.08,3311.81
47621.5,3311.7
47636.15,3312.85
47636.02,3313.01
47653.88,3314.13
47623.0,3310.15
47631.2,3310.46
47618.75,3307.71
47597.5,3306.18
47576.0,3302.26
47571.29,3303.32
47577.81,3301.4
47600.58,3303.35
47634.16,3307.07
47650.54,3308.73
47655.15,3311.92
47658.33,3311.92
47633.02,3310.79
47637.6,3310.69
47614.24,3307.97
47587.1,3303.83
47584.0,3302.61
47577.01,3302.2
47570.0,3301.34
47577.06,3300.72
47560.29,3299.42
47568.96,3301.58
47588.27,3303.79
47557.16,3300.65
47563.78,3300.99
47575.75,3303.25
47569.0,3301.29
47553.48,3299.41
47550.98,3297.86
47579.97,3301.43
47599.95,3307.02
47586.21,3306.12
47597.6,3308.0
47595.15,3307.17
47583.2,3305.0
47563.72,3301.51
47541.56,3298.92
47535.35,3297.99
47531.52,3297.1
47567.01,3301.17
47537.56,3298.45
47533.0,3297.31
47515.83,3294.15
47534.06,3297.47
47528.62,3297.24
47534.67,3299.04
47548.43,3300.0
47550.0,3301.72
47521.79,3299.0
47514.53,3298.07
47513.39,3297.37
47507.81,3295.88
47511.55,3294.45
47510.49,3294.43
47555.3,3298.45
47540.83,3297.51
47561.98,3300.01
47578.16,3300.01
47580.26,3298.39
47518.55,3294.23
47540.25,3296.9
47525.75,3294.0
47524.03,3295.0
47500.0,3292.59
47502.37,3292.31
47461.99,3288.25
47404.4,3285.62
47469.04,3288.74
47438.5,3285.01
47492.58,3290.79
47508.4,3292.89
47518.0,3292.65
47556.94,3297.99
47523.13,3293.98
47541.01,3297.55
47555.33,3299.22
47543.14,3300.08
47546.75,3299.87
47530.65,3298.4
47548.99,3299.94
47567.64,3301.52
47564.93,3303.78
47567.48,3303.37
47540.79,3301.2
47514.99,3301.65
47501.41,3300.39
47516.77,3300.4
47559.99,3304.73
47555.46,3304.12
47532.99,3303.32
47557.57,3304.87
47554.39,3306.46
47558.5,3306.88
47582.48,3308.73
47570.01,3306.55
47570.0,3306.58
47577.43,3306.73
47561.99,3303.59
47555.9,3303.0
47554.59,3300.25
47554.39,3300.97
47541.7,3299.33
47530.24,3299.0
47552.69,3301.55
47522.89,3298.13
47531.01,3299.2
47511.17,3295.53
47506.85,3295.95
47514.19,3296.61
47516.33,3299.43
47508.85,3298.41
47476.36,3295.61
47496.83,3296.43
47489.99,3296.48
47509.04,3298.6
47514.12,3299.0
47491.78,3296.06
47488.86,3295.63
47475.84,3293.32
47483.56,3295.09
47495.85,3296.93
47497.77,3297.75
47476.06,3293.54
47453.41,3290.15
47427.93,3289.14
47437.6,3290.27
47467.52,3293.16
47470.0,3293.62
47432.58,3290.49
47499.99,3296.13
47490.0,3295.56
47483.54,3294.46
47510.79,3295.8
47505.51,3294.76
47535.88,3298.34
47548.64,3299.49
47540.23,3298.41
47525.87,3296.99
47512.54,3294.48
47536.42,3295.68
47543.11,3296.98
47526.77,3295.07
47537.89,3295.69
47540.0,3295.49
47523.24,3295.76
47494.47,3293.57
47475.45,3290.87
47471.01,3290.01
47489.98,3291.92
47456.6,3289.14
47449.98,3288.3
47457.79,3287.79
47434.52,3287.09
47451.05,3289.58
47451.3,3288.9
47470.52,3290.01
47483.24,3290.83
47470.0,3287.4
47482.32,3287.0
47507.08,3288.0
47540.07,3290.0
47555.02,3290.78
47566.19,3294.12
47597.18,3295.41
47579.51,3293.84
47676.86,3298.3
47643.66,3296.2
47650.81,3295.99
47638.64,3295.0
47628.92,3295.55
47633.99,3297.0
47623.34,3295.02
47594.7,3292.94
47586.35,3292.66
47618.79,3295.8
47615.41,3297.04
47598.16,3296.35
47610.13,3296.05
47620.91,3296.41
47584.73,3290.69
47551.39,3289.25
47554.98,3289.05
47565.65,3290.25
47567.88,3292.0
47536.01,3289.06
47550.01,3290.31
47561.25,3291.44
47592.59,3294.0
47557.12,3292.41
47539.01,3290.62
47535.47,3289.16
47522.78,3288.81
47525.84,3289.31
47516.98,3288.3
47514.41,3288.15
47489.22,3285.97
47470.0,3282.21
47464.95,3281.85
47459.9,3279.04
47476.65,3283.46
47486.57,3282.98
47483.99,3283.0
47453.11,3278.72
47456.66,3280.36
47471.94,3284.5
47482.36,3286.22
47487.97,3285.96
47448.7,3283.09
47432.99,3281.26
47468.19,3286.34
47474.15,3286.99
47484.93,3287.6
47503.39,3287.74
47492.31,3287.67
47510.0,3288.26
47523.82,3289.75
47538.07,3289.58
47519.63,3287.54
47506.5,3286.27
47530.7,3289.59
47550.0,3291.45
47556.15,3292.77
47552.71,3293.0
47540.01,3291.49
47548.03,3293.11
47562.45,3294.17
