BTCUSDT,ETHUSDT
46682.93,3927.85
46587.5,3915.46
46530.73,3909.26
46588.34,3914.62
46529.36,3906.95
46544.17,3909.91
46495.89,3907.33
46583.83,3916.27
46716.01,3920.61
46680.48,3920.47
46679.98,3921.09
46633.27,3915.23
46525.75,3909.65
46372.19,3901.31
46400.79,3904.7
46307.0,3895.0
46316.02,3900.71
46262.4,3896.73
46234.13,3894.24
46322.91,3900.96
46383.78,3906.71
46410.84,3911.57
46453.43,3915.06
46420.01,3909.54
46393.21,3907.01
46453.4,3913.53
46492.39,3917.78
46541.09,3919.73
46481.37,3913.78
46517.82,3918.3
46495.34,3914.46
46558.3,3920.92
46578.62,3924.77
46600.93,3926.04
46557.19,3922.51
46537.88,3919.67
46488.93,3914.31
46511.63,3916.72
46558.75,3921.99
46559.58,3922.15
46558.64,3922.23
46614.8,3927.04
46656.76,3929.72
46633.25,3928.15
46677.91,3931.65
46630.0,3926.45
46652.35,3928.12
46669.9,3931.2
46683.82,3931.4
46645.75,3926.54
46613.83,3924.44
46634.8,3925.64
46630.79,3926.34
46637.79,3927.84
46681.21,3931.81
46732.62,3935.85
46769.47,3940.44
46762.08,3939.27
46839.78,3942.86
46880.83,3947.41
46860.99,3949.03
46912.76,3954.84
46890.0,3952.64
46884.99,3953.43
46864.5,3950.73
46924.83,3960.4
46924.02,3961.32
46951.9,3967.53
47020.01,3975.17
46980.32,3968.65
47026.13,3972.04
47002.01,3970.82
47115.22,3976.43
47145.61,3974.3
47140.39,3969.86
47041.64,3960.0
46995.75,3958.06
46948.24,3952.49
46855.28,3947.7
46908.98,3952.75
46957.0,3956.21
46925.02,3953.47
46935.55,3955.44
46805.63,3943.73
46830.07,3945.17
46887.21,3950.62
46846.09,3946.16
46786.91,3943.31
46774.37,3941.0
46812.89,3942.24
46740.62,3929.23
46696.0,3929.23
46750.79,3935.25
46725.65,3936.26
46648.04,3929.25
46661.69,3930.91
46706.03,3936.37
46725.52,3937.39
46686.25,3930.99
