BTCUSDT,ETHUSDT
47716.46,3960.77
47776.91,3969.05
47848.52,3972.95
47792.08,3966.82
47714.11,3958.5
47771.29,3970.47
47709.55,3962.67
47813.25,3977.16
47821.57,3978.63
47786.3,3977.58
47873.26,3983.65
47789.74,3977.83
47874.07,3980.95
47910.08,3985.18
47940.76,3987.43
47967.64,3991.9
47958.51,3987.63
47813.63,3977.62
47831.43,3979.18
47787.87,3972.31
47746.79,3969.05
47828.6,3975.13
47771.01,3970.53
47848.33,3982.64
47781.86,3975.4
47713.14,3966.87
47662.38,3958.65
47674.99,3956.12
47706.15,3957.34
47731.7,3961.21
47648.6,3957.86
47726.66,3967.38
47732.86,3967.85
47759.27,3964.22
47788.74,3972.41
47810.01,3976.44
47712.53,3967.43
47736.1,3967.05
47690.16,3958.76
47704.1,3959.44
47690.07,3960.17
47751.0,3966.14
47738.42,3964.35
47783.75,3971.3
47778.45,3970.03
47804.76,3973.75
47801.35,3973.72
47766.07,3968.03
47885.53,3980.66
47866.44,3984.73
47870.54,3983.89
47875.07,3980.96
47824.89,3975.95
47776.2,3972.57
47769.43,3974.44
47826.58,3983.41
47857.22,3983.29
47869.99,3981.55
47886.22,3975.6
47913.02,3978.75
47854.82,3971.67
47816.36,3961.74
47814.26,3965.68
47844.99,3962.0
47776.01,3955.85
47881.98,3966.94
47763.0,3960.38
47694.7,3952.37
47652.0,3949.02
47630.99,3950.49
47703.86,3956.52
47702.81,3958.9
47717.37,3956.35
47663.62,3957.42
47542.99,3950.52
47524.06,3947.17
47533.44,3950.48
47559.99,3952.55
47592.68,3955.99
47532.94,3950.18
47540.14,3950.53
47458.39,3937.22
47484.95,3937.71
47419.95,3935.0
47234.18,3902.56
47119.98,3899.97
47026.81,3896.03
46964.06,3884.04
47104.23,3893.9
47019.38,3888.88
47000.0,3886.1
46964.54,3880.2
46908.58,3869.78
46943.28,3868.61
46952.85,3873.67
47007.25,3881.17
47054.28,3882.91
47124.15,3892.88
46993.37,3880.39
46921.77,3876.98
46993.84,3881.1
46934.72,3876.77
47034.68,3885.13
47124.54,3889.38
47118.88,3887.93
47103.99,3887.33
47130.83,3887.12
47136.35,3888.66
47076.41,3878.09
47079.05,3874.05
46986.5,3860.46
47115.53,3871.39
47229.86,3886.02
47204.52,3880.16
47181.5,3879.43
47191.21,3876.86
47119.03,3872.95
47156.15,3876.47
47219.98,3882.21
47228.94,3878.92
47179.99,3869.02
47104.08,3858.57
47107.77,3861.71
47076.99,3854.8
46962.1,3834.33
46855.9,3820.18
47001.42,3833.67
47006.15,3838.23
47012.96,3836.09
47029.34,3836.6
46938.37,3821.28
46954.96,3819.48
47000.36,3821.15
47159.82,3837.36
47149.99,3838.95
47115.37,3838.17
47145.56,3841.86
47231.92,3845.5
47197.11,3843.29
47168.4,3841.97
47201.76,3842.5
47099.39,3832.32
47053.89,3828.98
47112.43,3834.36
47140.03,3830.26
47010.43,3812.55
47083.02,3818.45
47221.79,3836.12
47314.77,3849.43
47235.1,3839.27
47153.39,3832.39
47152.02,3832.51
47151.81,3832.01
47084.8,3824.76
47031.29,3819.99
47039.43,3822.86
47120.54,3831.77
47033.64,3815.64
47019.99,3809.27
47103.59,3819.5
47116.57,3822.41
47181.28,3831.49
47218.04,3837.98
47147.01,3829.73
47119.3,3829.58
47037.07,3818.69
46904.68,3807.69
46950.03,3816.76
46735.83,3774.82
46715.4,3768.53
46729.81,3772.49
46687.21,3774.07
46738.03,3785.06
46690.2,3773.98
46674.36,3762.29
46142.0,3733.54
45885.79,3707.37
46059.57,3736.15
45904.0,3727.0
45971.01,3737.91
45857.37,3734.99
45902.31,3744.88
45704.32,3738.93
45756.0,3751.08
45790.03,3753.75
45938.36,3763.09
46216.31,3785.57
46437.67,3796.9
46330.57,3800.37
46507.36,3828.72
46516.62,3829.66
46528.83,3834.55
46559.99,3844.04
46506.34,3837.1
46761.83,3857.09
46859.83,3869.76
46811.01,3866.3
47368.05,3937.4
47145.58,3923.73
47013.5,3908.76
46886.56,3899.09
46804.79,3888.18
46929.48,3897.37
47077.3,3909.56
47007.57,3897.42
46906.33,3882.37
46958.07,3885.99
46908.25,3881.45
46844.25,3873.74
46864.06,3871.68
46858.78,3869.17
46816.71,3864.02
46700.54,3854.44
46642.08,3841.56
46696.49,3849.38
46761.71,3858.51
46797.76,3868.01
46710.01,3864.33
46654.99,3853.87
46697.02,3859.42
46695.34,3856.29
46759.09,3867.22
46739.65,3866.07
46689.64,3862.04
46643.6,3860.25
46777.51,3878.0
46806.16,3877.5
46989.28,3902.57
46987.2,3898.35
46962.08,3899.73
46926.34,3896.15
46982.37,3907.64
46957.32,3904.07
46846.6,3891.96
46776.41,3885.56
46739.22,3882.97
46787.68,3884.7
46800.74,3886.28
46706.25,3876.73
46765.66,3881.3
46715.0,3879.41
46803.28,3886.93
46696.61,3878.47
46520.0,3865.03
46586.69,3878.32
46400.69,3855.98
46231.82,3846.47
46312.53,3859.78
46311.87,3853.37
46215.01,3843.33
46354.95,3852.73
46183.92,3844.48
46276.67,3852.16
46337.31,3862.08
46381.93,3869.15
46601.56,3883.63
46558.24,3879.56
46519.19,3877.74
46591.87,3887.61
47069.03,3936.61
46904.21,3918.88
46971.59,3922.12
46979.36,3917.77
46852.91,3905.63
46893.02,3902.74
46438.92,3876.39
46253.69,3865.09
45916.15,3842.66
45898.15,3846.15
46327.82,3869.99
46432.15,3889.29
46237.62,3866.02
46207.96,3873.0
46370.92,3881.23
46358.06,3880.4
46555.42,3901.16
46442.04,3889.61
46476.82,3889.55
46390.35,3878.02
