BTCUSDT,ETHUSDT
49277.22,3276.36
49130.01,3263.52
49079.68,3262.5
49022.81,3259.6
48952.54,3251.78
48825.98,3243.45
48917.12,3247.08
48914.26,3247.47
48984.49,3250.01
48964.92,3249.67
48918.52,3244.16
48878.24,3241.44
48854.32,3240.24
48907.61,3243.27
48929.86,3247.95
48961.71,3253.02
48977.61,3251.99
48860.76,3241.72
48944.19,3251.22
48854.59,3249.16
48896.13,3253.47
48923.82,3257.67
48998.75,3264.94
49035.66,3264.46
48986.32,3262.58
49008.61,3268.47
48984.16,3266.75
48987.02,3270.99
48975.71,3272.34
49088.0,3279.34
49059.5,3280.05
49025.68,3280.18
48974.56,3272.95
48868.77,3263.82
48841.98,3262.29
48841.77,3263.01
48838.92,3262.22
48730.52,3253.82
48797.73,3258.66
48825.95,3261.99
48841.33,3264.17
48814.53,3265.11
48849.99,3271.66
48901.44,3277.4
48837.33,3271.0
48895.39,3279.06
48819.99,3274.24
48828.17,3276.44
48755.84,3264.95
48690.67,3262.8
48696.12,3262.54
48558.43,3255.55
48615.91,3260.92
48698.56,3269.44
48729.62,3274.84
48763.38,3276.72
48653.68,3269.43
48705.29,3279.01
48720.3,3277.37
48625.67,3269.79
48710.94,3276.41
48774.15,3290.35
48822.5,3294.75
48902.76,3295.43
48934.53,3291.89
48903.78,3291.15
48893.21,3289.16
48821.32,3287.0
48796.85,3286.9
48762.39,3286.45
48785.52,3286.21
48836.76,3288.61
48765.05,3279.61
48802.46,3282.45
48801.0,3283.9
48745.39,3279.1
48813.75,3288.19
48797.51,3286.12
48721.1,3281.87
48714.9,3279.77
48702.93,3280.3
48712.95,3280.73
48623.66,3273.53
48674.74,3276.06
48681.2,3272.22
48651.22,3271.7
48710.0,3275.35
48876.1,3282.88
48936.6,3287.7
48884.26,3285.72
48865.06,3287.83
48821.99,3284.43
48838.4,3287.21
48952.25,3293.17
48939.0,3290.86
48944.23,3293.56
48930.31,3292.89
49067.46,3301.98
49044.61,3305.77
48986.27,3299.51
48903.34,3284.6
48877.28,3286.87
48828.42,3283.09
48849.99,3288.43
48881.23,3290.94
48834.92,3285.94
48842.6,3286.82
48855.5,3286.9
48798.94,3282.11
48821.57,3282.86
48862.72,3286.59
48839.94,3282.48
48879.96,3285.59
48827.58,3283.29
48799.99,3277.99
48774.95,3277.0
48830.7,3280.49
48884.76,3286.21
48802.75,3281.39
48798.67,3281.08
