BTCUSDT,ETHUSDT
41621.72,3194.83
41626.48,3194.1
41713.27,3203.57
41797.35,3210.57
41797.02,3217.37
41791.65,3219.93
41771.58,3217.62
41747.78,3215.99
41803.68,3218.38
41943.46,3220.0
41977.35,3224.32
41991.89,3235.79
42155.18,3241.57
42185.93,3240.02
42186.56,3239.1
42064.3,3233.0
42008.34,3227.91
42005.04,3228.13
41971.71,3224.61
41983.18,3223.79
42015.06,3225.51
42011.21,3226.72
41890.41,3218.81
41883.41,3217.8
41894.5,3218.26
41861.52,3213.14
41866.01,3210.04
41867.05,3210.23
41865.39,3208.64
41826.02,3208.18
41741.52,3196.9
41709.0,3191.32
41727.6,3192.34
41800.81,3197.7
41838.08,3204.14
41882.85,3209.88
41853.57,3205.43
41885.43,3211.6
41833.68,3207.5
41783.81,3199.51
41700.9,3188.08
41760.59,3192.75
41789.89,3196.61
41765.83,3195.47
41804.05,3197.9
41773.94,3194.36
41783.39,3196.87
41810.91,3203.5
41800.99,3205.66
41860.63,3212.98
41820.01,3208.94
41815.33,3210.13
41847.57,3212.94
41831.66,3210.85
41840.0,3209.34
41879.69,3215.47
41946.54,3221.88
41946.14,3223.47
41956.66,3225.62
41900.92,3218.69
41865.39,3212.55
41909.77,3215.08
41923.53,3215.82
41951.51,3219.05
41887.18,3212.37
41959.73,3219.16
41927.13,3214.27
41864.8,3208.71
41880.01,3209.1
41945.4,3214.33
41961.71,3214.67
41971.7,3215.67
41941.15,3211.06
41870.34,3204.89
41893.19,3206.37
41954.29,3214.93
41900.18,3210.0
41870.34,3208.11
41764.73,3193.75
41786.44,3198.18
41839.09,3205.23
41782.79,3200.7
41890.32,3213.94
41922.23,3219.48
41950.66,3225.18
41946.29,3222.05
41922.71,3221.03
41916.01,3221.15
41848.27,3217.6
41910.37,3220.47
41944.84,3218.54
41918.58,3217.46
41866.13,3209.68
41885.5,3213.48
41877.69,3209.96
41913.58,3216.13
41971.58,3220.35
42031.66,3223.93
42131.47,3232.17
42083.93,3229.12
42077.03,3227.38
41994.09,3219.72
41961.14,3217.96
41924.07,3214.18
41938.98,3213.75
42018.31,3219.36
42000.41,3220.28
41964.88,3215.24
42023.99,3220.07
42080.01,3226.21
42101.1,3228.42
42041.77,3222.43
42000.72,3218.96
42003.97,3221.89
42017.09,3224.0
42043.96,3225.71
42101.74,3235.87
42075.55,3233.37
42126.22,3237.41
42163.71,3240.92
42074.16,3232.31
42095.92,3232.85
