BTCUSDT,ETHUSDT
35456.58,2618.55
35413.69,2619.43
35425.84,2614.0
35538.52,2621.6
35543.92,2618.74
35685.0,2634.27
35646.56,2631.98
35660.15,2636.18
35612.01,2630.47
35581.2,2629.3
35498.35,2623.67
35570.55,2628.44
35594.09,2632.58
35665.58,2637.14
35712.76,2643.54
35959.38,2664.54
36050.0,2671.46
35991.09,2665.32
36017.47,2664.12
36003.74,2662.52
36080.0,2665.15
36008.5,2666.23
36044.02,2671.99
36215.19,2685.3
36146.4,2674.37
36133.96,2679.15
36179.17,2691.39
36188.03,2687.56
36060.02,2676.22
36059.27,2676.67
36154.44,2685.07
36148.99,2682.77
36093.7,2679.7
36180.38,2684.26
36119.2,2682.06
36130.27,2681.25
36138.47,2686.2
36128.01,2686.08
36089.8,2681.58
35825.09,2660.92
35860.82,2668.77
35931.73,2673.01
35999.44,2678.35
35884.99,2666.7
35962.96,2672.16
35999.74,2674.23
35937.42,2670.0
35989.67,2674.19
36082.61,2682.32
35998.39,2675.67
35949.29,2671.74
36019.29,2679.14
36036.84,2679.68
35969.25,2673.32
36076.0,2681.97
36112.17,2686.04
36142.97,2685.94
36157.68,2684.38
36123.48,2682.13
36080.0,2680.0
36061.24,2679.65
36018.19,2674.19
36000.0,2673.02
36060.31,2678.02
36106.87,2681.16
36145.72,2685.04
36156.06,2683.68
36191.44,2689.72
36096.9,2681.62
36131.28,2687.14
36175.8,2687.73
36236.65,2694.03
36397.84,2706.95
36311.17,2702.41
36115.64,2687.01
35973.07,2676.2
35860.52,2667.45
35817.48,2660.0
35778.28,2652.51
35847.2,2659.32
35917.48,2668.3
35932.97,2671.02
35796.41,2661.06
35853.21,2664.48
35881.21,2669.59
35879.96,2668.97
35934.24,2672.63
35947.84,2675.87
35960.86,2675.32
35929.79,2672.87
35967.77,2675.73
36070.67,2688.19
36104.51,2689.62
36154.99,2691.32
36121.64,2688.14
36132.57,2689.43
36146.49,2697.47
36137.37,2708.84
36153.46,2709.0
36220.61,2718.29
36178.46,2713.62
36161.69,2712.74
36197.03,2720.47
36168.96,2714.02
36108.72,2707.82
36050.09,2704.93
36180.88,2717.3
36308.52,2731.74
36330.51,2742.35
36319.98,2737.04
36258.01,2725.82
36206.99,2723.77
36220.66,2727.1
36202.21,2726.0
36243.85,2733.07
36206.84,2731.51
36238.89,2733.32
36150.01,2718.9
36174.99,2723.8
36166.27,2722.68
36072.19,2717.88
36111.36,2721.3
36091.49,2720.59
35993.36,2713.41
36051.77,2717.74
35993.18,2712.25
35976.23,2709.64
35891.81,2701.4
35912.88,2706.01
35970.47,2710.82
35967.99,2711.91
36015.69,2718.72
35983.58,2715.93
35941.95,2709.04
35939.43,2708.82
35871.99,2696.72
35919.99,2701.35
35886.66,2698.54
35907.71,2698.46
35942.09,2702.69
35987.14,2704.82
35889.58,2696.97
35924.99,2701.0
35868.13,2690.75
35962.85,2699.15
35973.28,2704.44
36098.19,2714.91
36059.96,2711.39
36012.67,2706.0
