S1,S2,VECM(q),mu,Johansen_slope,stdev,model,w1,w2
AAVEUSDT,ATOMUSDT,1.0,0.0,0.0,0.00308505537962913,1.0,-0.37843438428165094,0.6215656157183491
ATOMUSDT,AVAXUSDT,0.0,3.679908680335864,0.0,0.004657884563582843,2.0,0.8331023818327624,0.1668976181672376
ATOMUSDT,DOTUSDT,0.0,0.0,0.0,0.0020353310747092427,1.0,-0.5236541403201238,0.47634585967987625
ATOMUSDT,ETHUSDT,0.0,0.0,0.0,0.0028235658390630557,1.0,-0.7073653428531105,0.29263465714688947
ATOMUSDT,FTMUSDT,0.0,-2.3169281338966226,0.0,0.002292131665875263,2.0,-0.536003809111335,-0.46399619088866506
ATOMUSDT,LTCUSDT,1.0,0.0,0.0,0.0036720819266243877,1.0,-0.6160681296428281,0.38393187035717197
ATOMUSDT,MATICUSDT,0.0,1.7609251520123457,0.0,0.0017472275588753397,2.0,0.5710917299598706,-0.4289082700401295
ATOMUSDT,SOLUSDT,0.0,0.0,0.0,0.0028617351771889066,1.0,-0.6107403668438056,0.38925963315619433
ATOMUSDT,TRXUSDT,0.0,3.444852164414193,0.0,0.004326347216226523,2.0,0.9611744211884108,-0.03882557881158919
ATOMUSDT,XRPUSDT,0.0,0.0,0.0,0.0019948978369235234,1.0,-0.05156510851662978,0.9484348914833701
AVAXUSDT,BNBUSDT,0.0,6.415107182577991,-2.5288551569737325e-05,0.0016783720318690064,5.0,0.038684312829898586,0.9613156871701014
AVAXUSDT,DOTUSDT,0.0,3.942969500807875,0.0,0.002083324748161486,3.0,0.13146215501454495,0.8685378449854552
AVAXUSDT,ELFUSDT,0.0,-0.5201115696001701,1.989833638536794e-05,0.0030556246432589763,5.0,0.01591757733105952,0.9840824226689405
AVAXUSDT,XRPUSDT,0.0,0.0,0.0,0.0020539382391029123,1.0,-0.03975866440111759,0.9602413355988825
BCHUSDT,DOTUSDT,0.0,0.0,0.0,0.0011747181431652383,1.0,-0.3710633158884686,0.6289366841115314
BCHUSDT,SOLUSDT,0.0,-5.894336767020836,0.0,0.0016519447592301573,2.0,-0.39364727265322597,-0.6063527273467741
BNBUSDT,FTMUSDT,0.0,5.565795930362389,-2.6488780997302418e-05,0.0015115307642032426,4.0,0.8329959073901089,0.16700409260989116
BNBUSDT,TRXUSDT,0.0,6.240745655487303,-3.700643383486893e-05,0.00209190322958554,4.0,0.9424102240167209,-0.05758977598327908
BNBUSDT,XRPUSDT,0.0,0.0,0.0,0.0026833612471218998,1.0,-0.028452764129326544,0.9715472358706735
BTCUSDT,DOGEUSDT,1.0,-8.004903780518331,0.0,0.000973349835920284,2.0,-0.6834097700392787,0.3165902299607214
BTCUSDT,ETHUSDT,2.0,0.0,0.0,0.0012580424155808538,1.0,-0.43257007396788727,0.5674299260321127
BTCUSDT,LUNAUSDT,0.0,-6.879945974948946,0.0,0.0008399030327291758,2.0,-0.7194887503986582,0.28051124960134177
BTCUSDT,MATICUSDT,1.0,-8.522797078488738,4.278790021617285e-06,0.0010033696750815755,5.0,-0.7790803758489018,0.22091962415109825
CRVUSDT,DOGEUSDT,1.0,-1.372881188122339,0.0,0.0009447024986476345,2.0,-0.45105225857783104,0.548947741422169
DOGEUSDT,ELFUSDT,1.0,0.6676704844028807,-2.205431675530353e-05,0.003769377430111727,4.0,-0.08679116981186523,-0.9132088301881348
DOGEUSDT,FTMUSDT,1.0,-1.175211984982494,0.0,0.000949746177550527,2.0,0.579914235731481,-0.42008576426851896
DOGEUSDT,LINKUSDT,1.0,-3.4223017172167225,0.0,0.003362685960111543,2.0,0.04932710208982599,-0.950672897910174
DOGEUSDT,SOLUSDT,1.0,-4.56144338778934,0.0,0.0032454093886783077,2.0,0.22353556079585202,-0.776464439204148
DOGEUSDT,UNIUSDT,1.0,-2.1222031261945333,-4.2734090831889235e-06,0.0009689364932407004,4.0,0.5789024598270963,-0.42109754017290363
