S1,S2,VECM(q),mu,Johansen_slope,stdev,model,w1,w2
ATOMUSDT,CRVUSDT,1.0,-1.7240784281468795,0.0,0.00398114980948276,3.0,-0.6766268430807688,0.3233731569192313
ATOMUSDT,DOGEUSDT,1.0,-2.441764308380658,0.0,0.0015965971445625947,3.0,-0.47754147601278496,0.522458523987215
ATOMUSDT,XRPUSDT,1.0,-1.5781194708279616,0.0,0.001429588836489386,3.0,-0.4584628948650768,0.5415371051349233
AVAXUSDT,YFIUSDT,1.0,-2.901635824889111,0.0,0.0018342795080817645,2.0,0.4943610277821382,-0.5056389722178618
BCHUSDT,LINKUSDT,1.0,3.3595813745905843,0.0,0.0032260496628047385,2.0,0.6966434238619795,-0.3033565761380204
CRVUSDT,EOSUSDT,0.0,-0.22753508076652895,7.181393502455495e-05,0.005317473717426873,5.0,-0.548147486435927,0.45185251356407297
CRVUSDT,MATICUSDT,0.0,0.0,0.0,0.01080198919589293,1.0,-0.3283665808191845,0.6716334191808154
DOTUSDT,TRXUSDT,1.0,-2.7762086701739936,0.0,0.0012543138285559185,2.0,-0.3530937852379778,0.6469062147620223
ELFUSDT,MATICUSDT,2.0,-0.8777219701418233,0.0,0.0026075471647875855,2.0,0.6346717079720068,-0.36532829202799316
ELFUSDT,POWRUSDT,1.0,0.0,0.0,0.0037021372396888164,1.0,-0.469594221090716,0.5304057789092841
ELFUSDT,XRPUSDT,2.0,0.3254942422168785,0.0,0.0022518291395144685,2.0,-0.4496156673446006,0.5503843326553993
POWRUSDT,YFIUSDT,1.0,5.262284311001585,0.0,0.0038682232145599666,2.0,-0.5232425873477358,0.4767574126522643
